건축물명,건축물 위치,층수(지상_지하),조사년도,총발생량(톤),일평균발생량(톤/일),미사용_하수도방류(톤/일)
서초오퓨런스빌딩,서초대로 254(서초동 1553-5),18/8,2024,6870.5,37.75,37.75
더클래스효성(주),효령로55길 65(서초동 1597-7),/,2024,2318.7,12.74,12.74
웅진타워,반포대로30길 81(서초동) ,16/8,2024,21481.5,118.03,118.03
나비호텔레지던스(김영*),서초대로58길 5(서초동 1676-2),11/2,2024,358.5,1.97,1.97
북한산코오롱하늘채아파트,우이천로 367,18/,2024,816.1,4.48,4.48
쌍문그린스테이트빌딩,시루봉로 2,8/2,2024,123.8,0.68,0.68
무궁화빌딩,도봉로164길 43,6/2,2024,51.0,0.28,0.28
창동 아우르네,마들로13길 84,/,2024,4320.7,23.74,23.74
대동빌딩,방학로 177,/,2024,4273.4,23.48,23.48
타워텔빌딩,마들로 11가길 13-6,/,2024,54.6,0.3,0.3
KING 프라자,마들로 11가길 16,/,2024,427.7,2.35,2.35
삼원프라자,노해로 69길 17-9,/,2024,178.4,0.98,0.98
창동씨티월드,노해로 69길 26,/,2024,569.7,3.13,3.13
신원에벤에셀아파트,해등로 255,/,2024,360.0,1.98,1.98
신원에벤에셀프라자,해등로 255,/,2024,360.0,1.98,1.98
도봉월드,마들로 650,/,2024,720.0,3.96,3.96
삼환프라자,도봉로 575,/,2024,432.1,2.37,2.37
창동신원리베르텔,노해로341,/,2024,5670.0,31.15,31.15
사랑의교회,반포대로 121,14/7,2024,1456.0,8.0,8.0
서초어반하이오피스텔,서초중앙로5길 12(서초동),20/5,2024,640.6,3.52,3.52
서초센트럴IPARK,반포대로18길 36(서초동 1582-3,33/6,2024,709.8,3.9,3.9
동익성봉빌딩(동일엔지니어링),서초대로 301(서초동 1692-1),19/7,2024,17108.0,94.0,94.0
강남오피스텔,서초대로73길 40(서초동 1308-25),15/5,2024,2113.0,11.61,11.61
교보생명보험㈜(교보리얼코),강남대로 465(서초동 1303-22),25/8,2024,899.1,4.94,0.04
서초아르누보씨티3,서초대로 357(서초동 1680-1),19/8,2024,4550.0,25.0,25.0
휴먼타워,강남대로 605(잠원동 20-9),14/5,2024,728.0,4.0,4.0
페이토,강남대로 563(잠원동),19/8,2024,4116.8,22.62,22.62
멀버리힐스,강남대로 589(잠원동 27-2),14/8,2024,16562.0,91.0,91.0
엘루체,신반포로 23(반포동 1141),5/4,2024,1932.8,10.62,10.62
고도일 병원,강남대로 505(반포동 736-9),9/4,2024,2089.4,11.48,11.48
성운빌딩,사평대로57길 51(반포동 735-26),4/4,2024,8413.9,46.23,46.23
디에이치반포라클라스아파트,서초중앙로 206,35/3,2024,22409.7,123.13,123.13
신반포자이아파트,잠원로 60(잠원동 66),28/3,2024,112.8,0.62,0.62
아크로리버뷰신반포,잠원로 117(잠원동 159),35/3,2024,9977.2,54.82,54.82
서울성모병원,반포대로 222(반포동 505),22/6,2024,2184.0,12.0,12.0
롯데캐슬아르떼,방배천로18길 11(방배동 424-28),17/0,2024,546.0,3.0,3.0
우신운수,과천대로 796(방배동 2922),2/1,2024,424.1,2.33,2.33
대한예수교장로회방주교회,"방배천로24길 8(방배동 425-2 ,방주교회 )",4/3,2024,3063.1,16.83,16.83
CJ방배사옥,남부순환로 2271(방배동 ),6/4,2024,1932.8,10.62,10.62
대한예수교장로회백석총회유지재단,남부순환로 2221(방배동 490-1),7/4,2024,859.0,4.72,4.72
백석대학교 백석비전센터,방배동 981-17,13/3,2024,2073.0,11.39,11.39
누리꿈스퀘어,월드컵북로 396 (상암동),12/3,2024,0.0,0.0,0.0
대우미래사랑,월드컵북로5나길 18(서교동),12/3,2024,16290.8,89.51,89.51
현대하이엘,마포대로 173 (공덕동),19/3,2024,2256.8,12.4,12.4
경희의료원,"경희대로 23(회기동 1 ,경희의료원 )",16층/지하2층,2024,6806.8,37.4,37.4
씨젠의료재단,답십리로 288(장안동 368-1),17층/지하6층,2024,928.2,5.1,5.1
청계한신휴플러스(아),"서울시립대로 14(답십리동 1002 ,청계한신휴플러스(아) )",24층/지하2층,2024,145.6,0.8,0.8
청계와이즈노벨리아,서울시립대로 19(답십리동 463-2),20층/지하2층,2024,29702.4,163.2,163.2
신이문금호어울림아파트입주자대표회의,"신이문로 9(이문동 428 ,금호(A)어울림 )",12층/지하2층,2024,746.2,4.1,4.1
동대문종합사회복지관,약령시로5길 22(제기동 220),5층/지하3층,2024,2165.8,11.9,11.9
한방천하포스빌,왕산로 122(용두동 788),18층/지하6층,2024,5.5,0.03,0.03
(주)대성엠지엠 (동의보감타워),왕산로 128(용두동 787),18층/지하5층,2024,5460.0,30.0,30.0
한화 역사(주) 청량리점,"왕산로 214(전농동 591-53 ,한화 역사(주) 청량리점 )",9층/지하3층,2024,600.6,3.3,3.3
광석교회,왕산로26길 49(용두동 65-24),5층/지하3층,2024,2165.8,11.9,11.9
한국외국어대학교,이문동 270,10층/지하3층,2024,3021.2,16.6,16.6
이문KCC웰츠타워,이문로 136(이문동 292-10),15층/지하4층,2024,2275.0,12.5,12.5
장안삼성쉐르빌,장한로 119(장안동 371-1),30층/지하5층,2024,5041.4,27.7,27.7
용산KCC스위첸입주자대표회의,백범로 275,10~18/3,2024,1683.5,9.25,9.25
사운즈빌딩,대사관로 35,3/3,2024,6360.9,34.95,34.95
한성인베스트먼트 (용산포르쉐타워),이촌로12,6/4,2024,6584.8,36.18,36.18
더 뮤지엄 한국증권금융,한남동 51-13,5/6,2024,9875.3,54.26,54.26
서부티엔디,청파로20길 83외,36~39/4,2024,212836.3,1169.43,1169.43
용산역 전면3구역(삼성물산)(래미안용산),한강로2가 335번지 일대,40/9,2024,21956.5,120.64,120.64
용산푸르지오써밋,한강로2가 391번지 일대,39/9,2024,24717.4,135.81,135.81
하림인터내셔날 오피스텔,서초대로 316(서초동 1674-5),15/3,2024,3379.7,18.57,18.57
JW타워(GS서초타워),남부순환로 2477(서초동 1424-2),14/5,2024,13650.0,75.0,75.0
래미안서초유니빌,서초중앙로 26(서초동 1445-4),24/5,2024,3993.1,21.94,21.94
세계평화통일가정연합,청파로 319,9/4,2024,4078.6,22.41,22.41
삼일교회,원효로 89길 18-21,8/4,2024,313.0,1.72,1.72
디엠씨센트럴자이 1~4단지,"수색로 200(증산동 213-20 ,DMC센트럴자이 )",30/3,2024,20265.7,111.35,111.35
㈜중흥토건,진관동 76-40,1/4,2024,36946.0,203.0,0.0
㈜호반건설,대조동 2-9,28/6,2024,38511.2,211.6,211.6
힐데스하임,진관3로 11(진관동 64),16/3,2024,2406.0,13.22,13.22
은평성모병원,통일로 1021,17/7,2024,10610.6,58.3,58.3
SW메디컬빌딩,진관동 69,11/2,2024,902.7,4.96,4.96
은평뉴타운엘크루아파트,진관3로 21(진관동 65),20/4,2024,458.6,2.52,2.52
은평솔하임관리사무소,진관동 59-18,20/5,2024,2271.4,12.48,12.48
펌스개발쇼핑몰(NC백화점),불광로 20(대조동 240),16/8,2024,218.4,1.2,1.2
현대아산㈜(광운대역 역세권 청년주택 공사현장),월계동 410-3,/,2024,323.0,1.77,1.77
㈜우방(수락산역 역세권 청년주택 공사현장),상계동 1049-71,/,2024,1036.0,5.69,5.69
서울어울림체육센터 공사현장,상계동 1268,/,2024,1003.0,5.51,5.51
효성중공업㈜(노원역 역세권 청년주택 공사현장),상계동 690,/,2024,11670.0,64.12,64.12
한화포레나노원 2단지,노원로38길 10,2/30,2024,839.0,4.61,4.61
한화포레나노원 1단지,노원로38길 76,2/30,2024,4340.0,23.85,23.85
상계구민체육센터,상계6동 95-182,6/3,2024,0.0,0.0,0.0
노원역 보미더클래스 오피스텔,상계6.7동 706-2,20/4,2024,23984.0,131.78,131.78
코원건설,동일로174길 42,15/2,2024,3409.5,18.73,18.73
중앙하이츠아쿠아아파트,공릉로 430(중계2.3동 514),10/2,2024,91.7,0.5,0.5
월계센트럴아이파크 아파트,초안산로2라길 26(월계2동 645-3),17~30/2,2024,18200.0,100.0,100.0
국민은행 노원종합금융센터,"동일로1405(상계6,7동 731-5)",15/6,2024,29447.0,161.8,161.8
태경빌딩,한글비석로271 (중계1동 359-20),8/2,2024,249.0,1.37,1.37
공릉 신도1차아파트,동일로191가길 59(공릉1동 748),19/2,2024,1223.0,6.72,6.72
공릉 삼익2차아파트,공릉로 34길 118(공릉2동 754),7~18/2,2024,4862.5,26.72,26.72
공릉 한보아파트,공릉로 46길 19(공릉2동 743),12~20/2,2024,10876.3,59.76,59.76
예수사랑교회,노원로6(공릉2동 112-4),4/2,2024,1887.0,10.37,10.37
염광아름빌 아파트,덕릉로79길 23 (중계4동 445),15~26/2,2024,314.5,1.73,1.73
노블씨티,한글비석로 276(중계본동 366-11),9/4,2024,366.9,2.02,2.02
동천재활체육센터,노원로 18길 41,0/3,2024,1397.8,7.68,7.68
삼부프라자,한글비석로 242,8/4,2024,163.8,0.9,0.9
대신빌딩,노원로 236,8/3,2024,3341.5,18.36,18.36
양지대림2차 아파트,덕릉로 73길 28,25/3,2024,182.0,1.0,1.0
건영백화점,섬밭로 258,8/4,2024,821.2,4.51,4.51
상현교회,한글비석로 290,7/3,2024,855.4,4.7,4.7
중계두타빌,중계동 360-9,7/4,2024,1271.1,6.98,6.98
현대아파트,석계로 49,27/3,2024,2009.3,11.04,11.04
월계 2차 한일아파트,석계로 13길 6-10,19/3,2024,349.4,1.92,1.92
잠실역웰리지더테라스오피스텔,올림픽로34길 5-14(방이동 42),20/4,2024,905.0,4.97,4.97
위례휴먼빌씨티,"위례송파로3길 12(거여동 605 ,휴먼빌 시티)",12/4,2024,2232.0,12.26,12.26
세계로메딕플렉스,"위례서로 248(거여동 604 ,세계로병원)",13/4,2024,28.0,0.15,0.15
잠실올림픽공원아이파크,올림픽로43길 34(풍납동 514),14~35/3,2024,24450.0,134.34,134.34
잠실올림픽공원아이파크상가,"강동대로 74(풍납동 514-1 ,잠실 올림픽공원 아이파크 상가동 )",5/3,2024,20.0,0.11,0.11
위례포레18단지,거여동 648,15~22/2,2024,4348.0,23.89,23.89
잠실제니알,방이동 39번지,16/2,2024,2133.0,11.72,11.72
엘루이시티,올림픽로30길 9(방이동 28-2),16/3,2024,4689.0,25.76,25.76
한솔병원 신관-본관 있음,백제고분로39길 14-20,7/4,2024,346.0,1.9,1.9
