구,동,공사명,신청자,처리상태,도로,포장,주소,착공일,준공일,공사일수
성동구,행당동,동북선도시철도1공구 101정거장 특별피난계단,인터넷 개인굴착 그룹,신청자접수완료,특별시도,차도/보도,성동구 행당동   192-8 ~ 행당동   192-40,,,
종로구,이화동,이화동149번지 하수관연결공사,인터넷 개인굴착 그룹,착공계 접수,구도,차도/보도,종로구 이화동   149 ~ 이화동   149,2022-06-15,2022-06-19,4.0
성북구,길음동,길음역세권 주택재개발사업중(지하연결통로공사),인터넷 개인굴착 그룹,허가,구도,차도,성북구 길음동   875-1 ~ 길음동   875-1,,,
성북구,길음동,길음역세권 주택재개발사업중(지하연결통로공사),인터넷 개인굴착 그룹,허가,특별시도,보도,성북구 길음동   541-6 ~ 길음동   541-154,,,
금천구,시흥동,신안산선 복선전철 3-1공구,인터넷 개인굴착 그룹,착공계 접수,특별시도,보도,금천구 시흥동   1001-11 ~ 시흥동   1001-11,2021-11-15,2021-11-30,15.0
노원구,중계동,동북선 도시철도 민간투자사업 4공구,인터넷 개인굴착 그룹,착공계 접수,기타,보도,노원구 중계동   591 ~ 중계동   591,2021-09-03,2024-12-31,1215.0
노원구,중계동,동북선 도시철도 민간투자사업 4공구,인터넷 개인굴착 그룹,착공계 접수,특별시도,보도,노원구 중계동   370 ~ 중계동   370,2021-09-03,2024-12-31,1215.0
노원구,중계동,동북선 도시철도 민간투자사업 4공구,인터넷 개인굴착 그룹,착공계 접수,구도,보도,노원구 중계동   430-36 ~ 중계동   430-36,2021-09-03,2024-12-31,1215.0
노원구,중계동,동북선 도시철도 민간투자사업 4공구,인터넷 개인굴착 그룹,착공계 접수,특별시도,보도,노원구 중계동   369-1 ~ 중계동   369-1,2021-09-03,2024-12-31,1215.0
노원구,중계동,동북선 도시철도 민간투자사업 4공구,인터넷 개인굴착 그룹,착공계 접수,구도,차도,노원구 중계동   364-16 ~ 중계동   364-16,2021-09-03,2024-12-31,1215.0
노원구,중계동,동북선 도시철도 민간투자사업 4공구,인터넷 개인굴착 그룹,착공계 접수,구도,보도,노원구 중계동   360-4 ~ 중계동   360-4,2021-09-03,2024-12-31,1215.0
금천구,시흥동,신안산선 복선전철 민간투자사업 제3-1공구,인터넷 개인굴착 그룹,착공계 접수,특별시도,차도,금천구 시흥동   1001-11 ~ 시흥동   1001-12,2021-08-20,2025-04-09,1328.0
금천구,시흥동,신안산선 복선전철 민간투자사업 제3-1공구,인터넷 개인굴착 그룹,착공계 접수,특별시도,차도,금천구 시흥동   1001-9 ~ 시흥동   1001-12,2021-08-20,2025-04-09,1328.0
금천구,시흥동,신안산선 복선전철 민간투자사업 제3-1공구,인터넷 개인굴착 그룹,착공계 접수,특별시도,차도,금천구 시흥동   1001-7 ~ 시흥동   1001-9,2021-08-20,2025-04-09,1328.0
금천구,시흥동,신안산선 복선전철 민간투자사업 제3-1공구,인터넷 개인굴착 그룹,착공계 접수,특별시도,차도,금천구 시흥동   1001-11 ~ 시흥동   1001-11,2021-08-20,2025-04-09,1328.0
금천구,시흥동,신안산선 복선전철 3-1공구,인터넷 개인굴착 그룹,착공계 접수,특별시도,보도,금천구 시흥동   1000-71 ~ 시흥동   1000-71,2021-08-03,2025-04-09,1345.0
금천구,시흥동,신안산선 복선전철 3-1공구,인터넷 개인굴착 그룹,착공계 접수,특별시도,차도,금천구 시흥동   1000-71 ~ 시흥동   1000-71,2021-08-03,2025-04-09,1345.0
금천구,시흥동,신안산선 복선전철 3-1공구,인터넷 개인굴착 그룹,착공계 접수,특별시도,보도,금천구 시흥동   1000-71 ~ 시흥동   1000-71,2021-08-03,2025-04-09,1345.0
금천구,시흥동,신안산선 복선전철 3-1공구,인터넷 개인굴착 그룹,착공계 접수,특별시도,보도,금천구 시흥동   1000-71 ~ 시흥동   1000-71,2021-08-03,2025-04-09,1345.0
금천구,시흥동,신안산선 복선전철 3-1공구,인터넷 개인굴착 그룹,착공계 접수,특별시도,차도,금천구 시흥동   1000-71 ~ 시흥동   1000-73,2021-08-03,2025-04-09,1345.0
금천구,시흥동,신안산선 복선전철 3-1공구,인터넷 개인굴착 그룹,착공계 접수,특별시도,차도,금천구 시흥동   1000-71 ~ 시흥동   1000-71,2021-08-03,2025-04-09,1345.0
금천구,시흥동,신안산선 복선전철 3-1공구,인터넷 개인굴착 그룹,착공계 접수,특별시도,보도,금천구 시흥동   1000-71 ~ 시흥동   1000-71,2021-08-03,2025-04-09,1345.0
금천구,시흥동,신안산선 복선전철 3-1공구,인터넷 개인굴착 그룹,착공계 접수,구도,차도,금천구 시흥동   1000-70 ~ 시흥동   1000-70,2021-08-03,2025-04-09,1345.0
금천구,시흥동,신안산선 복선전철 3-1공구,인터넷 개인굴착 그룹,착공계 접수,구도,차도,금천구 시흥동   1000-70 ~ 시흥동   1000-70,2021-08-03,2025-04-09,1345.0
금천구,시흥동,신안산선 복선전철 3-1공구,인터넷 개인굴착 그룹,착공계 접수,구도,차도,금천구 시흥동   1000-70 ~ 시흥동   1000-70,2021-08-03,2025-04-09,1345.0
금천구,시흥동,신안산선 복선전철 3-1공구,인터넷 개인굴착 그룹,착공계 접수,특별시도,보도,금천구 시흥동   1000-71 ~ 시흥동   1000-71,2021-08-03,2025-04-09,1345.0
