연번,호선,역명,층수,형식,지반고,레일면고,선로기준정거장깊이,정거장깊이,비고,위도,경도
1,1,서울,B2,섬식,129.99,117.04,12.95,11.85,"4호선,경의중앙선,공항철도환승",37.55315,126.972533
2,1,시청,B2,상대식,129.97,118.82,11.15,10.05,2호선환승,37.56359,126.975407
3,1,종각,B2,상대식,128.77,116.24,12.53,11.43,,37.570203,126.983116
4,1,종로3가,B2,상대식,124.38,112.04,12.34,11.24,"3,5호선환승",37.570429,126.992095
5,1,종로5가,B2,상대식,121.75,109.26,12.49,11.39,,37.570971,127.0019
6,1,동대문,B2,상대식,120.52,108.93,11.59,10.49,4호선환승,37.57179,127.011383
7,1,동묘앞,B1,상대식,119.91,109.97,9.94,8.84,6호선환승,37.573265,127.016459
8,1,신설동,B2,상대식,118,108.46,9.54,8.44,"2호선(지선),우이신설선환승",37.576117,127.02471
9,1,제기동,B2,상대식,115.91,105.49,10.42,9.32,,37.578116,127.034902
10,1,청량리,B2,섬식,114.41,107.97,6.44,5.34,"분당선,경의중앙선,경춘선환승",37.580148,127.045063
11,2,시청,B3,섬식,132.01,111.02,20.99,19.89,1호선환승,37.563534,126.975271
12,2,을지로입구,B2,상대식,127.09,112.53,14.56,13.46,,37.565998,126.982569
13,2,을지로3가,B2,상대식,125.47,112.77,12.7,11.6,3호선환승,37.566292,126.991773
14,2,을지로4가,B2,상대식,125.61,110.28,15.33,14.23,5호선환승,37.566611,126.998122
15,2,동대문역사문화공원,B2,상대식,123.95,108.85,15.1,14.0,"4,5호선환승",37.565597,127.009113
16,2,신당,B2,상대식,122.43,109.04,13.39,12.29,6호선환승,37.565681,127.019488
17,2,상왕십리,B2,상대식,134.38,119.21,15.17,14.07,,37.564504,127.028872
18,2,왕십리,B2,상대식,118.41,104.86,13.55,12.45,"5호선,분당선,경의중앙선환승",37.561159,127.035505
19,2,한양대,B2,상대식,120.76,122.78,-2.02,-3.12,,37.55658,127.043504
20,2,뚝섬,고가,상대식,109.75,127.72,-17.97,-19.07,,37.54718,127.047413
21,2,성수,고가,섬식,112.7,125,-12.3,-13.4,2호선(지선)환승,37.544628,127.055983
22,2,건대입구,고가,상대식,111.44,125,-13.56,-14.66,7호선환승,37.540408,127.069231
23,2,구의,고가,상대식,119.48,132.98,-13.5,-14.6,,37.536857,127.085024
24,2,강변,고가,상대식,107.33,125.28,-17.95,-19.05,,37.535161,127.094684
25,2,잠실나루,고가,상대식,114.7,122.26,-7.56,-8.66,,37.520688,127.103836
26,2,잠실,B2,상대식,114.45,103.33,11.12,10.02,8호선환승,37.513305,127.100129
27,2,잠실새내,B2,상대식,114.71,103.91,10.8,9.7,,37.520731,127.103738
28,2,종합운동장,B2,상대식,114.92,102.64,12.28,11.18,9호선환승,37.511008,127.073641
29,2,삼성,B2,섬식,118.07,104.7,13.37,12.27,,37.508827,127.063203
30,2,선릉,B2,상대식,122.14,109.09,13.05,11.95,분당선환승,37.504257,127.048174
31,2,역삼,B3,상대식,143.03,125.29,17.74,16.64,,37.500658,127.03643
32,2,강남,B2,상대식,118.77,105.71,13.06,11.96,신분당선환승,37.497958,127.027539
33,2,교대,B2,상대식,117.89,104.8,13.09,11.99,3호선환승,37.493957,127.014631
34,2,서초,B2,상대식,131.03,115.64,15.39,14.29,,37.49191,127.007945
35,2,방배,B2,상대식,126.43,113.68,12.75,11.65,,37.481469,126.997627
36,2,사당,B2,상대식,118.59,104.77,13.82,12.72,4호선환승,37.476536,126.981631
37,2,낙성대,B2,상대식,148.33,134.96,13.37,12.27,,37.47693,126.963783
38,2,서울대입구,B2,섬식,134.32,120.91,13.41,12.31,,37.481233,126.952745
39,2,봉천,B2,섬식,127.09,114.04,13.05,11.95,,37.482416,126.941896
40,2,신림,B2,섬식,122.46,109.57,12.89,11.79,신림선환승,37.484216,126.929573
41,2,신대방,고가,상대식,108.97,126.25,-17.28,-18.38,,37.487534,126.913279
42,2,구로디지털단지,고가,상대식,110.64,126.26,-15.62,-16.72,,37.485005,126.902626
43,2,대림,고가,상대식,108.8,126.25,-17.45,-18.55,7호선환승,37.492426,126.895293
44,2,신도림,B2,섬식,111.52,99.58,11.94,10.84,2호선(지선).국철환승,37.508815,126.891222
45,2,문래,B2,상대식,109.25,96.21,13.04,11.94,,37.517993,126.894766
46,2,영등포구청,B2,상대식,109.56,95.51,14.05,12.95,5호선환승,37.525766,126.896627
47,2,당산,고가,상대식,112.65,122.82,-10.17,-11.27,9호선환승,37.533877,126.902011
48,2,합정,B2,상대식,120.95,106.75,14.2,13.1,6호선환승,37.550025,126.914557
49,2,홍대입구,B2,섬식,111.67,98.41,13.26,12.16,"경의중앙선,공항철도환승",37.556748,126.923643
50,2,신촌,B2,상대식,121.26,106.15,15.11,14.01,,37.555153,126.93689
51,2,이대,B2,섬식,150.81,122.4,28.41,27.31,,37.556734,126.945897
52,2,아현,B2,상대식,133.76,118.82,14.94,13.84,,37.557407,126.956079
53,2,충정로,B3,섬식,145.39,128.98,16.41,15.31,5호선환승,37.559742,126.964455
54,2,신설동,B3,상대식,118.13,100.08,18.05,16.95,"우이신설선,1호선환승",37.574653,127.025158
55,2,용두,B2,상대식,114.93,105.24,9.69,8.59,,37.574012,127.03811
56,2,신답,지상,상대식,114.07,112.67,1.4,0.3,,37.56147,127.056348
57,2,용답,지상,상대식,110.37,115.75,-5.38,-6.48,,37.566412,126.977863
58,2,도림천,B3,상대식,108.08,95.4,12.68,11.58,,37.514759,126.882586
59,2,양천구청,B2,상대식,107.28,97.91,9.37,8.27,,37.512194,126.865193
60,2,신정네거리,B3,상대식,114.97,93.33,21.64,20.54,,37.520218,126.852849
