"건축물명","건축물 위치","층수(지상_지하)","연면적","조사년도","총발생량(톤)","일평균발생량(톤/일)","일평균이용현황(톤/일)_하천방류","일평균이용현황(톤/일)_도로청소","일평균이용현황(톤/일)_공원용수","일평균이용현황(톤/일)_화장실세척","일평균이용현황(톤/일)_건물용수","미사용_하수도방류(톤/일)","일평균이용현황(톤/일)_기타건물용수"
"서초오퓨런스빌딩","서초대로 254(서초동 1553-5)","18/8","31215.79","2024","6870.50","37.75","","","","","0.00","37.75",""
"더클래스효성(주)","효령로55길 65(서초동 1597-7)","/","","2024","2318.70","12.74","","","","","0.00","12.74",""
"웅진타워","반포대로30길 81(서초동) ","16/8","13852.05","2024","21481.50","118.03","","","","","0.00","118.03",""
"나비호텔레지던스(김영*)","서초대로58길 5(서초동 1676-2)","11/2","2086.08","2024","358.50","1.97","","","","","0.00","1.97",""
"북한산코오롱하늘채아파트","우이천로 367","18/","43216.74","2024","816.10","4.48","0.00","0.00","0.00","0.00","0.00","4.48",""
"쌍문그린스테이트빌딩","시루봉로 2","8/2","","2024","123.80","0.68","0.00","0.00","0.00","0.00","0.00","0.68",""
"무궁화빌딩","도봉로164길 43","6/2","","2024","51.00","0.28","0.00","0.00","0.00","0.00","0.00","0.28",""
"창동 아우르네","마들로13길 84","/","","2024","4320.70","23.74","0.00","0.00","0.00","0.00","0.00","23.74",""
"대동빌딩","방학로 177","/","","2024","4273.40","23.48","0.00","0.00","0.00","0.00","0.00","23.48",""
"타워텔빌딩","마들로 11가길 13-6","/","","2024","54.60","0.30","0.00","0.00","0.00","0.00","0.00","0.30",""
"KING 프라자","마들로 11가길 16","/","","2024","427.70","2.35","0.00","0.00","0.00","0.00","0.00","2.35",""
"삼원프라자","노해로 69길 17-9","/","","2024","178.40","0.98","0.00","0.00","0.00","0.00","0.00","0.98",""
"창동씨티월드","노해로 69길 26","/","","2024","569.70","3.13","0.00","0.00","0.00","0.00","0.00","3.13",""
"신원에벤에셀아파트","해등로 255","/","","2024","360.00","1.98","0.00","0.00","0.00","0.00","0.00","1.98",""
"신원에벤에셀프라자","해등로 255","/","","2024","360.00","1.98","0.00","0.00","0.00","0.00","0.00","1.98",""
"도봉월드","마들로 650","/","","2024","720.00","3.96","0.00","0.00","0.00","0.00","0.00","3.96",""
"삼환프라자","도봉로 575","/","","2024","432.10","2.37","0.00","0.00","0.00","0.00","0.00","2.37",""
"창동신원리베르텔","노해로341","/","","2024","5670.00","31.15","0.00","0.00","0.00","0.00","0.00","31.15",""
"사랑의교회","반포대로 121","14/7","66096.13","2024","1456.00","8.00","","","","","0.00","8.00",""
"서초어반하이오피스텔","서초중앙로5길 12(서초동)","20/5","17777.64","2024","640.60","3.52","","","","","0.00","3.52",""
"서초센트럴IPARK","반포대로18길 36(서초동 1582-3","33/6","16831.039","2024","709.80","3.90","","","","","0.00","3.90",""
"동익성봉빌딩(동일엔지니어링)","서초대로 301(서초동 1692-1)","19/7","34737.26","2024","17108.00","94.00","","","","","0.00","94.00",""
"강남오피스텔","서초대로73길 40(서초동 1308-25)","15/5","18973.65","2024","2113.00","11.61","","","","","0.00","11.61",""
"교보생명보험㈜(교보리얼코)","강남대로 465(서초동 1303-22)","25/8","92717.58","2024","899.10","4.94","","","","","4.90","0.04",""
"서초아르누보씨티3","서초대로 357(서초동 1680-1)","19/8","15575.44","2024","4550.00","25.00","","","","","0.00","25.00",""
"휴먼타워","강남대로 605(잠원동 20-9)","14/5","8685.95","2024","728.00","4.00","","","","","0.00","4.00",""
"페이토","강남대로 563(잠원동)","19/8","15575.44","2024","4116.80","22.62","","","","","0.00","22.62",""
"멀버리힐스","강남대로 589(잠원동 27-2)","14/8","24999.28","2024","16562.00","91.00","","","","","0.00","91.00",""
"엘루체","신반포로 23(반포동 1141)","5/4","15512.21","2024","1932.80","10.62","","","","","0.00","10.62",""
"고도일 병원","강남대로 505(반포동 736-9)","9/4","5038.88","2024","2089.40","11.48","","","","","0.00","11.48",""
"성운빌딩","사평대로57길 51(반포동 735-26)","4/4","1424.6","2024","8413.90","46.23","","","","","0.00","46.23",""
"디에이치반포라클라스아파트","서초중앙로 206","35/3","160162.77","2024","22409.70","123.13","","","","","0.00","123.13",""
"신반포자이아파트","잠원로 60(잠원동 66)","28/3","111295.31","2024","112.80","0.62","","","","","0.00","0.62",""
"아크로리버뷰신반포","잠원로 117(잠원동 159)","35/3","109026.36","2024","9977.20","54.82","","","","","0.00","54.82",""
"서울성모병원","반포대로 222(반포동 505)","22/6","190564.75","2024","2184.00","12.00","","","","","0.00","12.00",""
"롯데캐슬아르떼","방배천로18길 11(방배동 424-28)","17/0","10778.4798","2024","546.00","3.00","","","","","0.00","3.00",""
"우신운수","과천대로 796(방배동 2922)","2/1","547.41","2024","424.10","2.33","","","","","0.00","2.33",""
"대한예수교장로회방주교회","방배천로24길 8(방배동 425-2 ,방주교회 )","4/3","8146.77","2024","3063.10","16.83","","","","","0.00","16.83",""
"CJ방배사옥","남부순환로 2271(방배동 )","6/4","6734.34","2024","1932.80","10.62","","","","","0.00","10.62",""
"대한예수교장로회백석총회유지재단","남부순환로 2221(방배동 490-1)","7/4","4810.1","2024","859.00","4.72","","","","","0.00","4.72",""
"백석대학교 백석비전센터","방배동 981-17","13/3","32532.22","2024","2073.00","11.39","","","","","0.00","11.39",""
"누리꿈스퀘어","월드컵북로 396 (상암동)","12/3","15256.9","2024","0.00","0.00","","","","","0.00","0.00",""
"대우미래사랑","월드컵북로5나길 18(서교동)","12/3","13235","2024","16290.80","89.51","","","","","0.00","89.51",""
"현대하이엘","마포대로 173 (공덕동)","19/3","47792.04","2024","2256.80","12.40","","","","","0.00","12.40",""
"경희의료원","경희대로 23(회기동 1 ,경희의료원 )","16층/지하2층","345519","2024","6806.80","37.40","","","","","0.00","37.40",""
"씨젠의료재단","답십리로 288(장안동 368-1)","17층/지하6층","40755","2024","928.20","5.10","","","","","0.00","5.10",""
"청계한신휴플러스(아)","서울시립대로 14(답십리동 1002 ,청계한신휴플러스(아) )","24층/지하2층","106252","2024","145.60","0.80","","","","","0.00","0.80",""
"청계와이즈노벨리아","서울시립대로 19(답십리동 463-2)","20층/지하2층","14391","2024","29702.40","163.20","","","","","0.00","163.20",""
"신이문금호어울림아파트입주자대표회의","신이문로 9(이문동 428 ,금호(A)어울림 )","12층/지하2층","23553","2024","746.20","4.10","","","","","0.00","4.10",""
"동대문종합사회복지관","약령시로5길 22(제기동 220)","5층/지하3층","7463","2024","2165.80","11.90","","","","","0.00","11.90",""
"한방천하포스빌","왕산로 122(용두동 788)","18층/지하6층","31290","2024","5.50","0.03","","","","","0.00","0.03",""
"(주)대성엠지엠 (동의보감타워)","왕산로 128(용두동 787)","18층/지하5층","37024.7934","2024","5460.00","30.00","","","","","0.00","30.00",""
"한화 역사(주) 청량리점","왕산로 214(전농동 591-53 ,한화 역사(주) 청량리점 )","9층/지하3층","177793","2024","600.60","3.30","","","","","0.00","3.30",""
"광석교회","왕산로26길 49(용두동 65-24)","5층/지하3층","1924","2024","2165.80","11.90","","","","","0.00","11.90",""
"한국외국어대학교","이문동 270","10층/지하3층","33848","2024","3021.20","16.60","","","","","0.00","16.60",""
"이문KCC웰츠타워","이문로 136(이문동 292-10)","15층/지하4층","32441","2024","2275.00","12.50","","","","","0.00","12.50",""
"장안삼성쉐르빌","장한로 119(장안동 371-1)","30층/지하5층","75865","2024","5041.40","27.70","","","","","0.00","27.70",""
"용산KCC스위첸입주자대표회의","백범로 275","10~18/3","","2024","1683.50","9.25","","","","","0.00","9.25",""
"사운즈빌딩","대사관로 35","3/3","1045","2024","6360.90","34.95","","","","","0.00","34.95",""
"한성인베스트먼트 (용산포르쉐타워)","이촌로12","6/4","10553","2024","6584.80","36.18","","","","","0.00","36.18",""
"더 뮤지엄 한국증권금융","한남동 51-13","5/6","9587","2024","9875.30","54.26","","","","","0.00","54.26",""
"서부티엔디","청파로20길 83외","36~39/4","184611","2024","212836.30","1169.43","","","","","0.00","1169.43",""
"용산역 전면3구역(삼성물산)(래미안용산)","한강로2가 335번지 일대","40/9","205879","2024","21956.50","120.64","","","","","0.00","120.64",""
"용산푸르지오써밋","한강로2가 391번지 일대","39/9","150773","2024","24717.40","135.81","","","","","0.00","135.81",""
"하림인터내셔날 오피스텔","서초대로 316(서초동 1674-5)","15/3","8851.36","2024","3379.70","18.57","","","","","0.00","18.57",""
"JW타워(GS서초타워)","남부순환로 2477(서초동 1424-2)","14/5","29784.83","2024","13650.00","75.00","","","","","0.00","75.00",""
"래미안서초유니빌","서초중앙로 26(서초동 1445-4)","24/5","41687.07","2024","3993.10","21.94","","","","","0.00","21.94",""
"세계평화통일가정연합","청파로 319","9/4","8565","2024","4078.60","22.41","","","","","0.00","22.41",""
"삼일교회","원효로 89길 18-21","8/4","14387","2024","313.00","1.72","","","","","0.00","1.72",""
"디엠씨센트럴자이 1~4단지","수색로 200(증산동 213-20 ,DMC센트럴자이 )","30/3","211479","2024","20265.70","111.35","","","","","0.00","111.35",""
"㈜중흥토건","진관동 76-40","1/4","18630","2024","36946.00","203.00","203.00","","","","0.00","0.00","창릉천"
"㈜호반건설","대조동 2-9","28/6","87070","2024","38511.20","211.60","","","","","0.00","211.60",""
"힐데스하임","진관3로 11(진관동 64)","16/3","17618","2024","2406.00","13.22","","","","","0.00","13.22",""
"은평성모병원","통일로 1021","17/7","179353","2024","10610.60","58.30","","","","","0.00","58.30",""
"SW메디컬빌딩","진관동 69","11/2","2397","2024","902.70","4.96","","","","","0.00","4.96",""
"은평뉴타운엘크루아파트","진관3로 21(진관동 65)","20/4","38185","2024","458.60","2.52","","","","","0.00","2.52",""
"은평솔하임관리사무소","진관동 59-18","20/5","44836","2024","2271.40","12.48","","","","","0.00","12.48",""
"펌스개발쇼핑몰(NC백화점)","불광로 20(대조동 240)","16/8","97074","2024","218.40","1.20","","","","","0.00","1.20",""
"현대아산㈜(광운대역 역세권 청년주택 공사현장)","월계동 410-3","/","","2024","323.00","1.77","","","","","0.00","1.77",""
"㈜우방(수락산역 역세권 청년주택 공사현장)","상계동 1049-71","/","","2024","1036.00","5.69","","","","","0.00","5.69",""
"서울어울림체육센터 공사현장","상계동 1268","/","","2024","1003.00","5.51","","","","","0.00","5.51",""
"효성중공업㈜(노원역 역세권 청년주택 공사현장)","상계동 690","/","","2024","11670.00","64.12","","","","","0.00","64.12",""
"한화포레나노원 2단지","노원로38길 10","2/30","153920.172","2024","839.00","4.61","","","","","0.00","4.61",""
"한화포레나노원 1단지","노원로38길 76","2/30","153920.172","2024","4340.00","23.85","","","","","0.00","23.85",""
