연번,시도,시군구,구간(주소),연장(m),선정사유,비고,
1,서울특별시,강남구,언주로(압구정동 477 ~ 개포동 1282-5),"6,700",지반침하사고 발생 빈도 높음,,
2,서울특별시,강남구,선릉로(구룡마을입구교차로 ~ 압구정동 507),"6,320",지반침하사고 발생 빈도 높음,,
3,서울특별시,구로구,서울특별시 고척동 76-368,80,관로 구간 토사 유실로 인한 도로 침하,,
4,서울특별시,구로구,서울특별시 구로동 712-8,30,관로 구간 토사 유실로 인한 도로 침하,,
5,서울특별시,구로구,구로구 고척동 76-74 ~ 구로구 고척동 77-5,290,노후 하수관로 매설,,
6,서울특별시,광진구,자양1-2동 일대 등,"5,029",침수구간,,
7,서울특별시,광진구,구의1동 일대(구의동 640-6등),"4,529",침수구간,,
8,서울특별시,광진구,구의2동 일대(구의동 75-1 등),"1,354",침수구간,,
9,서울특별시,광진구,능동·군자동 일대(군자동 49-1 등),"2,232",침수구간,,
10,서울특별시,광진구,화양동 일대(화양동 37-82 등),"1,846",침수구간,,
11,서울특별시,광진구,광장동 188-2번지 일원,100,지하개발 공사장 주변,,
12,서울특별시,광진구,자양4동 43-44번지 전통시장 공영주차장,200,지하개발 공사장 주변,,
13,서울특별시,광진구,자양4동 72-1번지 일원,70,지하개발 공사장 주변,,
14,서울특별시,광진구,구의1동 252-95번지 일원,70,지하개발 공사장 주변,,
15,서울특별시,광진구,구의1동 246-10번지 일원,100,지하개발 공사장 주변,,
16,서울특별시,광진구,자양4동 57-153번지 일원,250,지하개발 공사장 주변,,
17,서울특별시,광진구,자양4동 8-8번지 일원,200,지하개발 공사장 주변,,
18,서울특별시,광진구,자양2동 680-63번지 일원,840,지하개발 공사장 주변,,
19,서울특별시,광진구,구의2동 63-7 외 2필지 일원,240,지하개발 공사장 주변,,
20,서울특별시,광진구,화양동 111-117번지 일원,500,지하개발 공사장 주변,,
21,서울특별시,광진구,화양동 18-12번지 일원,130,지하개발 공사장 주변,,
22,서울특별시,광진구,중곡4동 93-13 외 6필지 일원,100,지하개발 공사장 주변,,
23,서울특별시,광진구,중곡1동 647-16 외 1필지 일원,60,지하개발 공사장 주변,,
24,서울특별시,광진구,구의3동 587-6 외 5필지 일원,170,지하개발 공사장 주변,,
25,서울특별시,광진구,중곡3동 695 외 2필지 일원,270,지하개발 공사장 주변,,
26,서울특별시,광진구,강변역 2번출구 와 테크노마트 사이,120,지반침하 발생구간,,
27,서울특별시,광진구,자양1동 621번지 일원,140,지반침하 발생구간,,
28,서울특별시,금천구,가산동 343-8 ~ 가산동 481-11,"1,967",침수취약구간,,
29,서울특별시,금천구,가산동 535-155 ~ 가산동 495-5,478,침수취약구간,,
30,서울특별시,금천구,가산동 547-81 ~ 가산동 371-12,478,침수취약구간,,
31,서울특별시,금천구,가산동 557-4 ~ 가산동 356-5,350,침수취약구간,,
32,서울특별시,금천구,가산동 6801 ~ 가산동 505-3,"2,380",침수취약구간,,
33,서울특별시,금천구,가산동 327-18 ~ 가산동 569-21,250,침수취약구간,,
34,서울특별시,금천구,시흥동 911 ~ 시흥동 930-56,520,지반침하 발생 이력,,
35,서울특별시,노원구,광운로2나길,335,잦은 지반침하 발생,,
36,서울특별시,노원구,"한글비석로20길, 덕릉로83길",575,잦은 지반침하 발생,,
37,서울특별시,마포구,고산16길(서울시 마포구 대흥동 20-24 ~ 대흥동 22-45),125,지반침하 다발 구역,,
38,서울특별시,마포구,연남로1길(서울시 마포구 연남동 564-37 ~ 연남동 567-34),400,장기사용 상수도관,,
39,서울특별시,성동구,성동구 도선동 35-2 ~ 성동구 마장동 470-1,"1,150",동북선 공사현장,,북공판 제외
40,서울특별시,성동구,성동구 행당동 286-3 ~ 성동구 행당동 128-22,640,하수관거 공사완료 현장,,
41,서울특별시,성동구,성동구 성수동1가 670-27 ~ 성동구 성수동1가 656-292,350,재개발 공사장 주변,,
42,서울특별시,종로구,연건동 187-1 ~ 효제동 98,290,지하굴착 진행중인 굴착공사장(굴착깊이: 25.16m) 주변,,"차도, 보도"
43,서울특별시,종로구,효제동 69-7 ~ 효제동 10.,141,지하굴착 진행중인 굴착공사장(굴착깊이: 25.16m) 주변,,보도
44,서울특별시,종로구,인사동 232 ~ 종로2가 9,105,지하굴착 진행중인 굴착공사장(굴착깊이: 37.86m) 주변,,차도
45,서울특별시,종로구,종로2가 11-1 ~ 종로2가 25,155,지하굴착 진행중인 굴착공사장(굴착깊이: 37.86m) 주변,,보도
46,서울특별시,종로구,종로2가 23 ~ 인사동 170,305,지하굴착 진행중인 굴착공사장(굴착깊이: 37.86m) 주변,,"차도, 보도"
47,서울특별시,종로구,관훈동 192-13 ~ 견지동 95,200,지하굴착 진행중인 굴착공사장(굴착깊이: 12.71m) 주변,,차도
48,서울특별시,종로구,효자동 25 ~ 효자동 150,220,노후 지하시설물(30년 이상) 다수 존재 및 공동조사 용역(22년도) 시 공동 발견 구간,,차도
49,서울특별시,종로구,소격동 73 ~ 재동 12,420,노후 지하시설물(30년 이상) 다수 존재 및 공동조사 용역(22년도) 시 공동 발견 구간,,"차도, 보도"
50,서울특별시,종로구,재동 25-4 재동 109,220,노후 지하시설물(30년 이상) 다수 존재 및 공동조사 용역(22년도) 시 공동 발견 구간,,"차도, 보도"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
